k,sse,silhouette,calinski_harabasz,davies_bouldin
2,9012.644725345403,0.8958167182320717,1925.0594026091944,0.7447127812233773
3,5439.304685942381,0.5941879366550106,3018.4284648829844,0.710059723785573
4,4092.144305254271,0.616212846765192,3149.7196984133348,0.7533624887695072
5,3118.2840089016963,0.6165231087744963,3437.6388798314756,0.7159551002633536
6,2472.574513748454,0.5963168804095496,3693.763445660805,0.6286874209821046
7,2022.4126705975714,0.5164702399121812,3923.0851648971793,0.6332065889798724
8,1742.3695767504694,0.5174591797377505,4001.6243547147083,0.7012627746328502
9,1445.6303271310005,0.47773236230395444,4330.251463610313,0.710546195537848
10,1303.3922373445598,0.42714342150727336,4320.9129959104985,0.73158755174563
