k,n_runs,silhouette_mean,silhouette_std,silhouette_min,silhouette_max
2,5.0,0.8958167182320717,0.0,0.8958167182320717,0.8958167182320717
3,5.0,0.594080638389493,0.00021459653103517162,0.5936514453274226,0.5941879366550106
4,5.0,0.6160624245981089,7.52110835414932e-05,0.6160248190563382,0.616212846765192
5,5.0,0.616235325535264,0.0003923097650711946,0.6156530937104517,0.616563989589144
6,5.0,0.5937033447770054,0.004947364541545424,0.5871940511696503,0.5984703113751083
7,5.0,0.5166456138312123,0.0005242659654137119,0.5161587565671307,0.517649822611793
8,5.0,0.4849032857048371,0.016278094033776058,0.4766753762004588,0.5174591797377505
9,5.0,0.4804536055716554,0.0054049689342585685,0.47765290514462083,0.4912610630745357
10,5.0,0.46937654292369463,0.021211439517966942,0.42714342150727336,0.4837935657160073
